state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,fs_pin,fs_targeted,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,conflict_score,fatalities,admin2_pcode,total_population_2015,area_sown_acres,population_density,vulnerability_band,old_conflict_score,old_conflict_env,approximate_vulnerable_population,flood_prob,flood_count,band_text,avg_safe_sanitation_improved_drinking_water,average_good_roof_and_wall,highest_education_at_least_middle_school_percent_14,electricity_for_lighting_percent_15,id_card_with_id_total_percent_16,female_literacy_percent_literate,child_dependency_ratio_31,unpaid_family_worker_percent,conflict_env,vul_score,mdp_score_old,d_water_2015,d_house_2015,d_electricity_2015,d_literacy_2015,d_child_2015,d_unpaid_2015,d_water_2019,d_house_2019,d_electricity_2019,d_literacy_2019,d_child_2019,d_unpaid_2019,water_2019,house_2019,edu_2019,electricity_2019,id_card_2019,female_literacy_2019,child_dependency_2019,unpaid_2019,mdp_adjust,cluster
Ayeyarwady,MMR017,Hinthada,Hinthada,MMR017008,338333.0329836413,102515,13327.061831061234,1,8,1,8,2,0.02018010886152575,7,MMR017D002,338435,270909,334.2440733430459,5,0,0,138521.5792414603,0.3333333333333333,5,5. Agricultural areas with high profits,0.09365022234090725,0.6392039847205935,0.627442637741188,0.7747448594550035,0.2682814999111427,0.05871620251833942,0.3976511795611415,0.07767549315798827,0.02788290238928221,0.18941632778617692,0.36717075992578807,0.12274570345094822,0.6972399093264741,0.8437999398639904,0.05888288506735202,0.39886478871823533,0.0779180963120004,0.03508717588672994,0.5089998003868366,0.745,0.07700000000000007,0.40700000000000003,0.538219671053827,0.02677015757557577,0.03216663638926688,0.627442637741188,0.684030530254615,0.2682814999111427,0.07678203248262572,0.40576163817687577,0.5365438884573659,0.332222377623582,D
Ayeyarwady,MMR017,Hinthada,Zalun,MMR017009,168152.32215033146,50950,6624.480065287993,1,5,0,7,2,0.01010084808649275,2,MMR017D002,168203,168675,267.8101558840312,5,0,0,74733.01378128899,0.26666666666666666,4,5. Agricultural areas with high profits,0.07578494521427037,0.713165212844342,0.6998674232380548,0.869773964300145,0.287629143701719,0.06511463193065115,0.43921615839823674,0.09003472955361239,0.013637637178782077,0.2036942891317974,0.40507327614762895,0.12274570345094822,0.6972399093264741,0.8437999398639904,0.05888288506735202,0.39886478871823533,0.0779180963120004,0.03508717588672994,0.5089998003868366,0.745,0.07700000000000007,0.40700000000000003,0.538219671053827,0.021663322035234585,0.035888584294519965,0.6998674232380548,0.7679327442332531,0.287629143701719,0.08514913379202084,0.4481743726803673,0.6219153806033413,0.37102751307231385,D
Ayeyarwady,MMR017,Hinthada,Lemyethna,MMR017010,102992.95991876331,31207,4057.107311638337,0,1,0,2,1,0.00290712509432847,1,MMR017D002,103024,118669,102.24544602489684,5,0,0,47266.05301734758,0.2,3,5. Agricultural areas with high profits,0.15982700807803685,0.7591639993903369,0.646723793791727,0.949702789208962,0.3101799107566695,0.0684740511231604,0.43364382412842933,0.06881942466533751,0.0034705729305691702,0.21234294134321646,0.42456685014283246,0.12274570345094822,0.6972399093264741,0.8437999398639904,0.05888288506735202,0.39886478871823533,0.0779180963120004,0.03508717588672994,0.5089998003868366,0.745,0.07700000000000007,0.40700000000000003,0.538219671053827,0.045686962445287645,0.03820337937800069,0.646723793791727,0.8385027594037529,0.3101799107566695,0.08954218072794003,0.4424883855690464,0.4753705475192281,0.3608372399489565,D
Ayeyarwady,MMR017,Hinthada,Myanaung,MMR017011,218515.143772356,66210,8606.688498081088,1,6,2,14,4,0.02980855796506705,2,MMR017D002,218581,247932,142.09033450575592,5,0,0,93960.17203836874,0.3333333333333333,5,5. Agricultural areas with high profits,0.12207943925233655,0.6892940587449933,0.6558041828898566,0.8516188251001335,0.2579039396754276,0.06054871207914525,0.3821724635380357,0.09074367520900498,0.04149102446362144,0.20230462664211565,0.3887706620611167,0.12274570345094822,0.6972399093264741,0.8437999398639904,0.05888288506735202,0.39886478871823533,0.0779180963120004,0.03508717588672994,0.5089998003868366,0.745,0.07700000000000007,0.40700000000000003,0.538219671053827,0.03489672254729341,0.034687317167811496,0.6558041828898566,0.7519033774781563,0.2579039396754276,0.07917836948310814,0.3899672196180233,0.6268124265464629,0.35389419442576747,D
Ayeyarwady,MMR017,Hinthada,Kyangin,MMR017012,96054.05117132452,29104,3784.430973441061,1,6,0,13,2,0.01474903119937816,12,MMR017D002,96083,98370,82.97201659317125,5,0,0,38937.40177269449,0.13333333333333333,2,5. Agricultural areas with high profits,0.1637561901925011,0.706054287522806,0.6328075401670167,0.8012063893956882,0.19091052433684674,0.03943739658025358,0.31119931026281367,0.06898977524955426,0.020207027798582168,0.17951020403738874,0.364295176713435,0.12274570345094822,0.6972399093264741,0.8437999398639904,0.05888288506735202,0.39886478871823533,0.0779180963120004,0.03508717588672994,0.5089998003868366,0.745,0.07700000000000007,0.40700000000000003,0.538219671053827,0.04681012928587929,0.03553074148584432,0.6328075401670167,0.7073936983166887,0.19091052433684674,0.051571514086072426,0.31754650412733865,0.47654724509964425,0.3073897371131664,D
Ayeyarwady,MMR017,Hinthada,Ingapu,MMR017013,214319.40828568256,64939,8441.9585078309,2,2,1,6,5,0.01854821144599259,5,MMR017D002,214384,236055,127.48400230202388,5,0,0,95230.65537469876,0.3333333333333333,5,5. Agricultural areas with high profits,0.17000122315609212,0.7507557357283895,0.5755799990393391,0.8926593160810079,0.35676196160798246,0.056664226656906624,0.4087172885938859,0.0640918074880764,0.025576501949858766,0.21343686414422824,0.4094039447939599,0.12274570345094822,0.6972399093264741,0.8437999398639904,0.05888288506735202,0.39886478871823533,0.0779180963120004,0.03508717588672994,0.5089998003868366,0.745,0.07700000000000007,0.40700000000000003,0.538219671053827,0.04859528806416198,0.0377802506642503,0.5755799990393391,0.7881384663141185,0.35676196160798246,0.07409870368259158,0.4170534505998284,0.44271450633689224,0.34259032828864555,D
Ayeyarwady,MMR017,Labutta,Labutta,MMR017016,315123.0280291265,95482,12413.303933374356,0,5,1,4,2,0.01485087022855198,2,MMR017D004,315218,410559,125.97449327238034,4,0,0,175686.92625692472,0.2,3,4. Very low access to services and infrastructure,0.6485188468306364,0.88586719235807,0.7180746871240608,0.9146633502242568,0.4059090964993912,0.12048320135311752,0.5181290064102564,0.06992608504933813,0.020350959383620075,0.3041650144041915,0.5351964332311409,0.6093762075349924,0.8630142287883918,0.9321115066067573,0.10324314895692861,0.49767916567647236,0.07528280147882954,0.4077483955512248,0.7255031752965291,0.91,0.118,0.475,0.38539249749903826,0.43393968456626675,0.4185457369139611,0.7180746871240608,0.892965747986658,0.4059090964993912,0.13770422447690917,0.49451794452826664,0.35797005462227616,0.4824533970897237,A1
Ayeyarwady,MMR017,Labutta,Mawlamyinegyun,MMR017018,311246.19643100415,94308,12260.01232259513,3,8,1,4,3,0.02047146644098162,4,MMR017D004,311340,383710,255.03406057718703,4,0,0,161842.54360697776,0.13333333333333333,2,4. Very low access to services and infrastructure,0.5697460139411906,0.8398766124509254,0.6118970689350931,0.9497769943647678,0.313750161833247,0.08578835729436718,0.4769746050789842,0.08070624029000519,0.028294685166122276,0.273778050937281,0.4910645067735726,0.6093762075349924,0.8630142287883918,0.9321115066067573,0.10324314895692861,0.49767916567647236,0.07528280147882954,0.4077483955512248,0.7255031752965291,0.91,0.118,0.475,0.38539249749903826,0.3812308721339207,0.3968165642745529,0.6118970689350931,0.9272464278638839,0.313750161833247,0.09805034293324869,0.45523894315439334,0.41315650982873314,0.44967336136963415,A1
Ayeyarwady,MMR017,Maubin,Maubin,MMR017019,313998.3669801612,95142,12367.604337309436,3,17,2,36,10,0.05746485207583486,13,MMR017D005,314093,329697,223.16211072941744,4,0,0,157570.76438852525,0.26666666666666666,4,4. Very low access to services and infrastructure,0.5050832822683973,0.7017157818505932,0.6953411072033975,0.8752576458136037,0.3307786245014155,0.06726212339750759,0.4859221670084793,0.09341273680287376,0.08057833980755752,0.2734954157666047,0.46934668360578347,0.3633691877415228,0.640992533279035,0.9085236754130321,0.07323112424908798,0.45752855204977055,0.09440957644555706,0.2046668581872988,0.4949996461031796,0.796,0.10699999999999998,0.43299999999999994,0.43498037331845385,0.2844869955741401,0.22405559652484364,0.6953411072033975,0.7668540786797804,0.3307786245014155,0.09827852948226372,0.4598714055593703,0.43038755873080387,0.4112567370320019,D
Ayeyarwady,MMR017,Maubin,Pantanaw,MMR017020,264516.27992181526,80148,10418.703742303838,0,1,1,6,1,0.01136106352177737,0,MMR017D005,264596,206170,198.25380423070325,4,0,0,127855.61278051072,0.26666666666666666,4,4. Very low access to services and infrastructure,0.2704182358113376,0.6323805099789306,0.705074412514256,0.9428803689632862,0.3655893821235753,0.08695920953666403,0.45517076554494,0.12475161217756447,0.015418730405625048,0.24536066596417336,0.44790306208131936,0.3633691877415228,0.640992533279035,0.9085236754130321,0.07323112424908798,0.45752855204977055,0.09440957644555706,0.2046668581872988,0.4949996461031796,0.796,0.10699999999999998,0.43299999999999994,0.43498037331845385,0.15231244857070228,0.2019170667935496,0.705074412514256,0.826101502917433,0.3655893821235753,0.12705848115583082,0.430768616729999,0.574777526603655,0.4229499296761251,D
